Band,Trial_Beta,Trial_P,VHP_Beta,VHP_SE,VHP_P,VHP_CI_Lower,VHP_CI_Upper,R_squared,Adj_R_squared,AIC,BIC,VHP_Sig,Trial_Sig,VHP_Percent_Change
beta,-0.018913355623569533,0.05339253173808469,-1.8824783165316297,0.6665340121475843,0.004738704811460731,-3.188860974811878,-0.5760956582513814,0.07100873765284965,0.04120153137433158,254.3678177666764,277.2428248801197,**,ns,-84.7787592603411
gamma,-0.017357536699061652,0.09807489948487799,6.336701799544875,6.442484732580902,0.32532185921934753,-6.290336247262855,18.963739846352606,0.12335307203240697,0.09522536311366081,243.11678530157923,265.99179241502253,ns,ns,56392.998298386556
theta,-0.01814600850550639,0.06774054162190035,-0.6611785902433315,0.2225609453247869,0.0029704889757582566,-1.097390027445102,-0.224967153041561,0.07130383837497034,0.04150610056881976,254.3061824884976,277.1811896019409,**,ns,-48.375746261674735
theta+beta,-0.01830244623124036,0.05628975806368922,-1.871058784473446,0.2839412557521031,4.410184922509193e-11,-2.427573419472645,-1.3145441494742476,0.07979552714343041,0.050270249939476375,252.52415140051966,275.39915851396296,***,ns,-84.60394355672646
total,-0.017445035968763116,0.06362782589596538,-5.604521007551268,1.2187889670304255,4.25677879806137e-06,-7.993303487685678,-3.2157385274168586,0.10878051731286276,0.08018523979348946,246.31514874343816,269.19015585688146,***,ns,-99.63188166189302
