rat,date,experiment,channel,trial,side,correct?,first 30 seconds power,total_power_pre_door,total_power_post_door,total_power_pre_odor,total_power_post_odor,beta_power_pre_door,beta_power_post_door,beta_power_pre_odor,beta_power_post_odor,gamma_power_pre_door,gamma_power_post_door,gamma_power_pre_odor,gamma_power_post_odor,theta_power_pre_door,theta_power_post_door,theta_power_pre_odor,theta_power_post_odor
dk1,20230529,nocontext,LFP1_AON,0,nc,1,0.11204718392723934,1.1842838094547818,1.3481060676463859,1.9960997482022897,0.27988370211169145,0.11581384442628072,0.22551160011711266,0.22144079059762029,0.09228193797767094,0.014057509081534948,0.013767925538860644,0.017898411512252355,0.005629004772256702,0.5059970402276696,0.723320604649807,0.9620481960528154,0.1191685516819492
dk1,20230529,nocontext,LFP1_AON,1,nc,0,0.11204718392723934,8.007802667161462,2.208206242832648,8.883626682680939,1.489684157299594,0.3147749008781341,0.5059276125807158,0.6029536727324825,0.28960037768437913,0.043121756959067524,0.14301267626838934,0.16892329695068037,0.03477624467418841,3.971902569398029,0.8809852995402859,4.070716962090828,0.7698287764058102
dk1,20230529,nocontext,LFP1_AON,2,nc,1,0.11204718392723934,4.388665890535709,1.5974806147349774,4.0917653091210475,1.676726608490304,0.555068486404488,0.48744093374260467,0.5178803802126688,0.4636804953233521,0.1825860053676072,0.008287925535019237,0.046226754898171206,0.008018968460366665,2.4538608208030186,0.5995767770094448,2.3364498171157475,0.6778083783549673
dk1,20230529,nocontext,LFP1_AON,3,nc,0,0.11204718392723934,7.722942229512677,1.9948514933983317,7.60277004379757,1.6979591774829619,0.24455593660863456,0.262502882569016,0.19971165344448122,0.306029784466425,0.06373381056117171,0.0068648007223052546,0.06318940970242243,0.00428103332326667,3.083265699860135,1.0659683972657295,3.2063539626056534,0.8641954409596183
dk1,20230529,nocontext,LFP1_AON,4,nc,1,0.11204718392723934,7.848118618975758,0.18073672125572302,0.23271463439995937,0.1858172434183928,0.6303939610819312,0.08483900529847178,0.09452320874078696,0.07837910269215649,0.07587043106543505,0.007794028667575785,0.010238696151415016,0.015088676435651295,3.5905620293660285,0.05959574759712767,0.07152073141266993,0.05866741480687841
dk1,20230529,nocontext,LFP1_AON,5,nc,1,0.11204718392723934,12.681548291808387,2.1230999914207036,12.617324103801575,1.750518738598712,5.275133834441047,0.32223849264746124,5.4256612220643365,0.7356295317197826,0.7323275318506776,0.06205914442924778,0.7828361138596828,0.009335025495088295,2.919216019917783,1.3757870419027647,2.8339434800337884,0.7200133486197058
dk1,20230529,nocontext,LFP1_AON,6,nc,1,0.11204718392723934,12.867695433130175,0.5862865129249573,13.014211774494807,0.5479785917043427,0.9606785759255364,0.19568326878850936,1.0343547908063373,0.16850111938572968,1.0389434329064633,0.011642193426424313,1.043224854507171,0.009635050941525404,5.158775287485663,0.23114585625669018,5.190719911584489,0.24117880029320268
dk1,20230529,nocontext,LFP1_AON,7,nc,0,0.11204718392723934,3.519684365436065,0.39672322049342634,3.46325531283049,0.3131089124755016,1.2456324018680554,0.15873871705234693,1.3299897224303703,0.09282421252875914,0.33298898253452686,0.02117539143169623,0.3419893627378143,0.008931475462790125,0.4156476300052805,0.27335945298993597,0.5056754039650285,0.12910522229924606
dk1,20230529,nocontext,LFP1_AON,8,nc,1,0.11204718392723934,24.345232453505407,0.6950904136551903,4.886439207499607,0.6045605087025521,1.5550213695254165,0.09964038694579312,0.4175020688418018,0.12837916773918376,0.26581005968145927,0.01434675905264168,0.12797024490718012,0.006104437616892692,14.303980823780467,0.3149001482439522,2.466136894535045,0.23611948984868406
dk1,20230529,nocontext,LFP1_AON,9,nc,1,0.11204718392723934,0.5323290138994485,0.2350025962579312,0.33173067820436,0.9384683522184865,0.10441337127013198,0.07273329087921498,0.08335065436160466,0.4696353558298301,0.021952127092278163,0.0077023789409394715,0.01473023049443229,0.19093509181168408,0.2729877099378593,0.1107183166166721,0.14682903611952933,0.16878267583770923
dk1,20230529,nocontext,LFP1_vHp,0,nc,1,0.0825176839369697,0.21906911616255786,0.19652106011011647,0.23101177460087832,0.17114031193402782,0.04541144535681752,0.05957374440004808,0.05881744131538647,0.07581985420291008,0.02530094732090974,0.02740618800232892,0.02911159201960151,0.022527832912205652,0.09080988691421969,0.08310001607667877,0.08275770723575039,0.05474406804674851
dk1,20230529,nocontext,LFP1_vHp,1,nc,0,0.0825176839369697,0.7237481676616012,0.5658035991276463,1.0050504289437578,0.22737482529230443,0.08508483599228785,0.12781007376749529,0.13542881339186133,0.08244810145294683,0.03603421244641913,0.060997366829447536,0.06267981303440051,0.021911915005851823,0.268424245140233,0.21430485694603443,0.3629682387624231,0.08846079376219419
dk1,20230529,nocontext,LFP1_vHp,2,nc,1,0.0825176839369697,0.3058375289497163,0.2176628213442897,0.2672816469032204,0.2177134699810551,0.04740706869329608,0.09627634907046123,0.04885332309090409,0.09777839018396892,0.040153679492825965,0.03234764189500595,0.0289909890185949,0.0350911853451663,0.16284359682530988,0.05779124110130989,0.13761176252541032,0.0581939421827911
dk1,20230529,nocontext,LFP1_vHp,3,nc,0,0.0825176839369697,0.6480846958411637,0.5285109947164326,0.6943898050380822,0.42099769117634833,0.06188244397503394,0.36175228167833995,0.19844243443139314,0.2563144821830929,0.029077342278962044,0.03811389517277124,0.03994259901256446,0.033766761422763504,0.3141836603330238,0.08826050797684279,0.22529782071631985,0.08866163914496186
